,India
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,1.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,2.0
2020-03-03,0.0
2020-03-04,23.0
2020-03-05,2.0
2020-03-06,1.0
2020-03-07,3.0
2020-03-08,5.0
2020-03-09,4.0
2020-03-10,13.0
2020-03-11,6.0
2020-03-12,11.0
2020-03-13,9.0
2020-03-14,20.0
2020-03-15,11.0
2020-03-16,6.0
2020-03-17,23.0
2020-03-18,14.0
2020-03-19,38.0
2020-03-20,50.0
2020-03-21,86.0
2020-03-22,66.0
2020-03-23,103.0
2020-03-24,37.0
2020-03-25,121.0
2020-03-26,70.0
2020-03-27,160.0
2020-03-28,100.0
2020-03-29,37.0
2020-03-30,227.0
2020-03-31,146.0
2020-04-01,601.0
2020-04-02,545.0
2020-04-03,24.0
2020-04-04,515.0
2020-04-05,506.0
2020-04-06,1190.0
2020-04-07,533.0
2020-04-08,605.0
2020-04-09,809.0
2020-04-10,873.0
2020-04-11,848.0
2020-04-12,759.0
2020-04-13,1248.0
2020-04-14,1034.0
2020-04-15,835.0
2020-04-16,1108.0
2020-04-17,922.0
2020-04-18,1370.0
2020-04-19,1893.0
2020-04-20,924.0
2020-04-21,1541.0
2020-04-22,1290.0
2020-04-23,1707.0
2020-04-24,1453.0
2020-04-25,1753.0
2020-04-26,1607.0
2020-04-27,1561.0
2020-04-28,1873.0
2020-04-29,1738.0
2020-04-30,1801.0
2020-05-01,2394.0
2020-05-02,2442.0
2020-05-03,2806.0
2020-05-04,3932.0
2020-05-05,2963.0
2020-05-06,3587.0
2020-05-07,3364.0
2020-05-08,3344.0
2020-05-09,3113.0
2020-05-10,4353.0
2020-05-11,3607.0
2020-05-12,3524.0
2020-05-13,3763.0
2020-05-14,3942.0
2020-05-15,3787.0
2020-05-16,4864.0
2020-05-17,5050.0
2020-05-18,4630.0
2020-05-19,6147.0
2020-05-20,5553.0
2020-05-21,6198.0
2020-05-22,6568.0
2020-05-23,6629.0
2020-05-24,7113.0
2020-05-25,6414.0
2020-05-26,5843.0
